id,followers,genres,name,popularity
7IlBcKrGUBJ0NKdnbDde89,333825.0,['brazilian hip hop'],Sant,63
6bmZfABIjvLMAMYwujdjFy,7159.0,['funk 150 bpm'],Mc Topre,60
21ELc2P2rA3Cu6xw3VWqvv,51030.0,"['funk carioca', 'funk consciente', 'funk ostentacao', 'funk paulista']",Mc Kadu,59
7nMA5jUpayvsedWUkX9lx7,411137.0,"['adoracao', 'brazilian gospel']",Alessandro Vilas Boas,59
0Vxqvpm9tpZcz6d4egDtjX,31977.0,"['brega funk', 'funk carioca']",MC PR,58
1AY6YtpuVujP4Pa3ibD1M1,270657.0,"['adoracao', 'brazilian ccm']",Colo de Deus,57
4y6Ve3GJGW72qVUqalUvKi,13465.0,['adoracao'],Weslei Santos,55
4wvAGBushcLkCZ1lEZsYMf,391621.0,"['brazilian reggae', 'brazilian rock']",Maskavo,55
74B3SJ1xNHK3VS4T9i2TvQ,353025.0,"['axe', 'forro', 'forro de favela', 'tecnobrega']",Banda Magníficos,54
1dpUJl5huB5mtceAbK2E2r,417655.0,"['adoracao', 'brazilian gospel', 'funk evangelico', 'rap cristao', 'trap cristao']",Pregador Luo,54
5KDNpi3pjBAf4tKUKDvzkz,82089.0,"['funk consciente', 'funk ostentacao', 'funk paulista']",Mc Dimenor Dr,53
4DdazUhIad0cymOHGifQO6,94764.0,['brazilian hip hop'],Cortesia Da Casa,54
3YvHDhzmrkcYZuKN7A2KBK,338572.0,['brazilian gospel'],Sarah Farias,53
3eKjUJNwglGwLmS8dELCuC,136498.0,['funk ostentacao'],Mc Yago,53
7frHe3lyyKF5Uo1rDZ058K,23088.0,"['adoracao', 'musica crista reformada']",Projeto Sola,50
5dC3MIPsF3nBg3iNJfhBsj,27151.0,['musica infantil'],Bob Zoom,50
7c8kQb9AUntvapfnuC3IhF,56136.0,"['brazilian rock', 'nova mpb', 'shoegaze brasileiro']",Terno Rei,51
6OokCpvxnYv43WcFqejMLb,209504.0,"['brazilian indie', 'mpb', 'nova mpb', 'nova musica paulista']",Tulipa Ruiz,51
4s2oHxyGNA3QZBeWELgBJI,9763.0,"['brazilian edm', 'brazilian house']",Guz Zanotto,53
1VJZvjGu80pBwk0qeJz8ZR,85312.0,"['afrofuturismo brasileiro', 'brazilian hip hop', 'rap feminino nacional']",Drik Barbosa,50
0HFoOA61ShFCVKyKUPoN6B,117813.0,['forro'],Silvanno Salles,50
3LWCuB9QxDmpLhhGwqU04N,296972.0,"['brazilian punk', 'brazilian rock', 'mpb', 'rock nacional brasileiro']",Lobão,50
0IVBT8qQNwvHLzOJL6kGpE,1143561.0,"['brazilian edm', 'brazilian hip hop', 'brazilian reggae']",Oriente,61
4kqedTxyE5EDJWLLplYXpu,379261.0,"['brazilian hip hop', 'trap brasileiro']",Choice,58
5ZtyHkAGvYFPSYcWPfmL5n,291927.0,"['funk carioca', 'nova mpb', 'pop lgbtq+ brasileira', 'transpop']",Liniker e os Caramelows,59
34JhhuxlkDFSA5ek4AuZOp,120144.0,"['brazilian hip hop', 'nerdcore brasileiro', 'trap brasileiro']",Yung Buda,58
7Jp5Nw7cNZTkwFgJX06Cqk,361983.0,"['rap df', 'sertanejo pop']",Dan Lellis,58
0kj68SnX4WCXwveyBbRX8p,29900.0,['funk bh'],MC Saci,55
03lJxNYml1ArLjcZLxfIvz,2080285.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Paula Mattos,55
3DAlQBPv5zWasPxV5Tr8ok,14159.0,[],Zerky,57
2Ip2jiEjsSe8pmRBzwTv5N,47316.0,"['brazilian hip hop', 'grime brasileiro']",Febem,55
0MDyxNYI11EEQWhjsrPFd2,402843.0,['adoracao'],Laura Souguellis,55
1qJG1PpAGl1FnzYyCDU7x1,1996.0,['grime brasileiro'],CESRV,53
2d92LVCevmO89rznIQqOhL,830.0,[],Vitin,53
2gzwjs75n4HZZfgnVGxoqI,408112.0,"['axe', 'forro', 'forro de favela']",Limão Com Mel,53
6W2jVpE55n1wT0SrpxoeFk,227119.0,['brazilian hip hop'],Dalsin,53
2b3gMC15SnC8mwjnYiUXvx,447823.0,"['brazilian hip hop', 'brazilian reggae', 'brazilian rock']",Mato Seco,53
5pkMSRvBI8OXT3rExCzvNs,88786.0,"['brega funk', 'funk carioca']",Mc Abalo,52
71FkOGkNoEpRQAAmV9CP73,530956.0,"['adoracao', 'brazilian gospel']",David Quinlan,52
7luES30fTO66nDk83NZCJV,202316.0,['brazilian ccm'],Padre Reginaldo Manzotti,52
1beK7BpUs2hTagfzLUb1HB,77369.0,"['brazilian hip hop', 'rap paranaense', 'trap brasileiro']",Aka Rasta,52
3tWVgYrn2htmCQesDIlByw,71438.0,['rock nacional brasileiro'],Kiko Zambianchi,52
7ffqgUujPJ2BxcFc8BmG5y,154639.0,['brazilian ccm'],Eliana Ribeiro,52
